#MainDesig,EquivDesig,Class,YmJ,YmJerr,YmJt_min,JmK,JmKerr,JmKt_min,HmK,HmKerr,HmKt_min,TaxClassKNN,KNNMCProb,TaxClassProb,ProbProb,TaxClassFin
160373,160373|2004 FU63|2001 QE167,MBIMB,0.333681,0.082019817623547,6.9487920007668,0.647148,0.25597785552563,5.3461080032866,,,,Ad,0.305041,Ad,0.35,U
90546,90546|2004 FW109|1996 AW15,MBIMB,0.469562,0.067441170296785,9.5317199919373,0.1243275,0.23984979707882,6.2439480086323,,,,V,0.638497,V,0.55,U
68692,68692|2002 CV167|1998 HV103,MBMMB,0.264618,0.038889923174262,11.467259998899,0.520122,0.12131127489026,6.1852680018637,,,,C,0.348102,Xt,0.24,U
163518,163518|2002 TF18,MBOMB,0.459175,0.083943995324264,9.5621400035452,0.250533,0.36167800600603,4.1708160017151,,,,V,0.438701,S,0.32,U
168295,168295|6280 P-L|1995 UT52|2001 TA30,MBOMB,0.204006,0.15729887356876,7.0097039930988,0.322646,0.39473309606397,5.1376320084091,,,,Bk,0.221547,Kl,0.18,U
274329,274329|2008 RC16|2002 CA194,MBMMB,-0.2487705,0.19018982440512,7.0239959971514,1.4142825,0.35054994603765,7.5119760038797,,,,Ad,0.842004,Ad,0.57,U
19999,19999|1991 BJ1|1998 FS126|1999 RO242|1999 SL19|Depardieu,MBIMB,0.3994025,0.009944843513098,7.0239959971514,0.414545,0.02211565136391,6.4713960012887,0.1165,0.05689784913114,9.7422480024397,S,0.976036,S,0.98,S
145896,145896|1999 TF190|1989 SH13,MBIMB,0.193095,0.064626946858489,7.0239959971514,0.2655215,0.22334509908267,6.4713960012887,,,,Kl,0.310552,Bk,0.31,U
274643,274643|2008 TT120|2004 VW50,MBMMB,0.462191,0.061831012572576,7.0239959971514,0.667563,0.14577627816538,6.4713960012887,,,,Ad,0.479468,Ad,0.68,U
125384,125384|2001 VQ80,MBIMB,0.314049,0.028478391009677,7.5809159944765,0.469463,0.069666922929752,6.4132559986319,,,,Ds,0.267323,Kl,0.31,U
267482,267482|2002 GT72,MBMMB,0.368293,0.1284839823801,9.2017080041114,0.8571865,0.33039383868045,8.4686759964097,,,,Ad,0.621086,Ad,0.48,U
120193,120193|2004 DM6,MBIMB,0.459578,0.065031877923446,9.2017080041114,0.525702,0.21402619656014,8.4686759964097,,,,S,0.556172,Ad,0.41,U
27732,27732|1990 RH7|1990 QB14|1994 JF6,MBOMB,0.185978,0.043629278400519,9.2017080041114,0.448461,0.11856830807809,6.351768001914,,,,C,0.668226,C,0.32,C
44062,44062|1998 FK46|1999 RQ87,MBIMB,0.275414,0.032459600201635,8.6726159986574,0.275941,0.099051685287279,6.3441719964612,,,,Kl,0.603895,Kl,0.55,Kl
199823,199823|2007 DL97,MBMMB,0.351263,0.099146022282793,8.6726159986574,1.120466,0.15984869776839,6.3441719964612,,,,Ad,0.979484,Ad,0.98,U
148201,148201|2000 CD80|1801 T-2,MBIMB,0.25261,0.066338903365597,9.7729200054891,0.2692965,0.21026321142202,6.2813520000782,,,,Kl,0.379919,Kl,0.32,U
46516,46516|1978 VQ6|1978 WC12|2000 DD72,MBOMB,0.321887666667,0.074227113541257,8.8518470304552,0.357326333333,0.34692058914157,6.3507844798733,,,,S,0.254695,S,0.21,U
119501,119501|2001 UL119,MBIMB,0.24992,0.085265642705606,9.7459919995163,0.537077,0.21880680408525,6.268463996239,,,,C,0.303148,Kl,0.17,U
271845,271845|2004 TV227,MBMMB,0.335647,0.17486875141588,8.6726159986574,1.0992825,0.31754711015454,5.268383998191,,,,Ad,0.843497,Ad,0.69,U
126200,126200|2002 AQ37|2003 KL7,MBMMB,0.1992915,0.14413425022006,7.4050919967704,1.137977,0.28168418844337,8.0784720007796,,,,Ad,0.858507,Ad,0.67,U
63532,63532|2001 PJ22,MBOMB,0.238368,0.048418246364361,6.0874560009688,0.33258,0.1295740734445,6.236784006469,,,,Kl,0.342117,Kl,0.33,Kl
14296,14296|4298 T-1|1982 FW|1990 OY2,MBIMB,0.185735,0.015942062311696,6.7936320032459,0.44692,0.03767317885114,6.1346159933601,,,,C,0.972874,C,0.63,C
265567,265567|2005 QA51|2000 BR38|2004 EJ48,MBIMB,0.18805,0.097489445497962,6.7936320032459,0.760025,0.27195368760186,7.1548919985071,,,,Ad,0.392525,Ad,0.29,U
204229,204229|2004 CD116,MBOMB,0.310354,0.12209869265988,6.7936320032459,1.038371,0.26217187894443,7.1548919985071,,,,Ad,0.824145,Ad,0.68,U
103360,103360|2000 AS94|2004 FS21,MBIMB,0.9134865,0.058052084667564,6.7936320032459,0.091194000000002,0.150211312332,6.1346159933601,,,,V,0.992538,V,1.00,U
8474,8474|1985 GA1|1992 NQ|Rettig,MBIMB,0.418276,0.003341736150566,6.7936320032459,0.497339,0.005110233042631,6.1346159933601,,,,S,1.0,S,0.93,S
15056,15056|1998 YP12|1986 PK4|Barbaradixon,MBOMB,0.3110905,0.009222732593977,8.0083800014108,0.5779945,0.017507777664512,5.9947919973638,,,,Ds,0.94759,Ds,0.64,Ds
4983,4983|1977 RD7|1972 EO|1979 DO|1979 FO1|1986 CS|Schroeteria,MBIMB,0.343789,0.005676692126582,8.0083800014108,0.372483,0.011175671836628,5.9947919973638,,,,S,0.994582,S,0.84,S
127341,127341|2002 JO118,MBMMB,0.432063,0.057289453213484,8.0083800014108,0.388981,0.14319779356715,5.9947919973638,,,,S,0.794311,S,0.70,U
78378,78378|2002 PS133,MBOMB,0.257554,0.055737653697927,7.4777759949211,0.4100085,0.14548839334119,6.0414480068721,,,,C,0.256566,Kl,0.27,U
34237,34237|2000 QO96|1998 DM24,MBMMB,0.335618,0.025325523094302,3.0966479948256,0.4657825,0.041643531124294,7.8249599982519,,,,S,0.415943,S,0.44,S
231961,231961|2001 QS5,MBIMB,0.5354895,0.072649279870829,8.0083800014108,0.415667,0.24834357397213,7.9362000070978,,,,S,0.524924,V,0.43,U
49822,49822|1999 XD70|1997 EX57,MBIMB,0.446882833333,0.05610569320785,9.6429600007832,0.413445666667,0.15555908576915,5.9921999985818,,,,S,0.768102,S,0.66,U
87147,87147|2000 NM16|1992 OA6|1996 PF8,MBMMB,0.094265,0.019686781739279,9.8385480022989,0.305444,0.044374943898556,4.1646239964757,,,,Bk,0.876838,Bk,1.00,Bk
167683,167683|2004 HK20|2001 TT129,MBOMB,0.4616155,0.14612519591262,6.7936320032459,1.1011565,0.26682963583577,5.1143399986904,,,,Ad,0.92146,Ad,0.89,U
134175,134175|2005 CF12|2000 EW127,MBOMB,0.27678,0.072938640160754,9.0348480013199,0.292382,0.1670782196353,5.0671079952735,,,,Kl,0.333171,Kl,0.34,U
237230,237230|2008 VS64,MBMMB,0.402852,0.051336485616957,8.1112679990474,0.3003055,0.14183122922244,5.990687997546,,,,S,0.76693,S,0.73,U
