MainDesig,TaxClass,MCProb
3806,S,0.339036
42536,Ad,0.536725
32636,Ad,0.880166
78054,Ad,0.527639
15774,S,0.597466
40061,S,0.729951
2003 GV50,V,0.954214
72391,C,0.531978
80081,Bk,0.447627
201903,C,0.232751
130896,S,0.333579
64968,S,0.947575
94769,S,1.0
106840,Ad,0.339865
4848,Cgx,0.443496
24857,V,0.997972
15549,S,1.0
51589,S,0.968098
86797,S,0.759868
14128,S,0.567655
21929,S,0.590067
46745,Ds,0.629761
3185,C,0.930704
22999,S,0.895298
5328,V,0.808816
24593,Ds,0.53563
44567,Ad,0.527363
20513,S,0.838126
15230,Ad,0.370434
127277,S,0.711734
8862,S,0.99203
15560,Ds,0.357586
23354,V,0.945637
23672,Ds,0.566049
20958,S,0.999731
110391,C,0.269171
242973,S,0.326204
165617,S,0.733223
83701,Ad,0.699798
18477,Ds,0.641222
25580,Ds,0.422933
41047,V,0.643254
36740,S,0.575968
61972,Ad,0.933648
69523,Ad,0.42465
3172,S,1.0
98408,Ad,0.598913
64735,Ds,0.595041
48353,Ad,0.563582
7923,S,0.743802
44332,Ad,0.542639
19935,S,0.999228
43433,S,0.98581
2316,C,0.999995
13836,S,0.959861
16849,Ad,0.723262
3249,Ds,0.822628
2164,Cgx,0.806454
9620,Kl,0.278383
28160,S,0.688586
10911,Ds,0.40169
69546,Ad,0.751119
58620,V,0.886862
5383,C,0.309299
239149,Ad,0.657814
13495,S,0.579818
86475,Ad,0.976942
32215,S,0.239258
58436,Ds,0.627551
10560,S,0.993544
129621,Ds,0.48851
16311,S,0.62391
29725,Bk,0.506878
168466,Ds,0.549704
94986,Ds,0.588061
54061,V,0.811405
196386,Ad,0.535298
30021,Ds,0.421152
19900,S,0.441982
34200,Ds,0.641093
2571,Ds,0.969263
28052,S,0.487989
6629,C,0.512825
946,Cgx,0.904436
55438,S,0.530797
2124,Kl,0.937001
74161,Bk,0.555088
102865,S,0.546826
80024,Ds,0.397381
70543,S,0.942618
166412,Ds,0.542162
47483,S,1.0
56751,C,0.541873
117571,Kl,0.432077
206742,Ds,0.579429
45398,Ds,0.472621
44269,Kl,0.493524
207051,Bk,0.772909
94365,Ds,0.596348
96306,Ds,0.600994
5659,Ds,0.503369
4029,S,1.0
19342,C,0.399586
10815,C,0.413962
46157,Ds,0.551082
246185,Ad,0.37887
351000,Ds,0.717445
14888,S,0.872196
243905,Ad,0.991748
14881,Ds,0.464836
148420,Ds,0.588392
68801,V,1.0
2012 XB120,C,0.550927
38699,S,0.999966
98258,S,0.987159
248491,C,0.461618
297966,Ad,0.325497
68141,V,1.0
81201,S,0.690345
100916,C,0.434487
